avg_lumen,avg_celsius,avg_ppm,avg_ml,sleep_duration,eco_code,total_ply,opening_ply,player_move_count,opponent_move_count,time_control,is_time_increase,time_increase_sec,is_berserk,duration_min,user_rating,opp_rating,rating_diff,is_player_piece_black,termination_type,result,player_opening_win_rate,player_opening_game_count,sleep_hours,target
874.1722139252524,23.1362531692343,564.9981901374922,168.93506307216455,5 hours 48 minutes,A00,29,7,20,50,classical,True,16,False,26,1605,2113,-188,True,Resignation,Loss,0.40134286802386454,400,5.8,0
1911.2857515378491,18.67311971996039,1844.0846506873067,278.59033903195865,7 hours 30 minutes,D30,84,13,13,58,classical,False,22,False,1,1431,2642,187,False,Resignation,Win,0.6950638369365006,727,7.5,1
1517.5890952605291,19.293029712756912,1208.4037959165714,177.0104842767468,5 hours 8 minutes,E60,41,14,43,20,classical,True,0,True,21,1732,2650,26,True,Normal,Loss,0.41659829636948914,991,5.133333333333334,0
1277.585271554666,25.188433508216633,1722.3319457723867,88.70253375705562,9 hours 50 minutes,A00,109,18,47,48,blitz,True,17,False,3,2773,2206,241,True,Time Forfeit,Loss,0.6082970123622207,899,9.833333333333334,0
480.83355279638573,22.85143247727672,912.0793616489788,120.63587110060081,8 hours 13 minutes,E60,101,15,55,33,classical,False,19,False,20,1704,2702,278,False,Time Forfeit,Win,0.47099826014270363,789,8.216666666666667,1
480.7901366051648,18.073576412933036,1832.8371655939209,460.7787680327258,4 hours 21 minutes,B20,69,22,13,55,rapid,False,16,False,2,1378,2698,-236,True,Resignation,Draw,0.38248696203365595,576,4.35,0
304.55050190275904,18.811772342928258,1022.722685974661,206.33371840579252,6 hours 22 minutes,A00,33,16,47,28,rapid,False,26,False,9,1331,1325,-9,False,Normal,Loss,0.6198875055859445,858,6.366666666666666,0
1759.1170623948833,23.308014152864445,417.3402423684774,364.2698610480755,4 hours 45 minutes,E60,83,16,28,13,blitz,True,27,False,19,2678,1594,-276,True,Time Forfeit,Win,0.43344271561161724,804,4.75,1
1282.0070211377758,18.04049267076975,1848.6111622708218,503.4172708548569,8 hours 20 minutes,B20,66,17,15,35,rapid,True,26,True,15,1547,2016,248,False,Time Forfeit,Loss,0.6460773389591243,490,8.333333333333334,0
1474.5306400328818,19.28646441133999,546.0586828578137,690.3948286293653,5 hours 45 minutes,D30,48,17,43,47,rapid,True,14,True,18,1739,2080,-300,True,Resignation,Loss,0.6661028739671292,485,5.75,0
237.05208973244441,22.38987031493269,910.9018201446638,39.31213984109894,7 hours 53 minutes,B20,95,23,27,51,classical,False,10,True,26,1971,1775,248,False,Time Forfeit,Loss,0.6439295341565103,757,7.883333333333333,0
1945.8377338915898,23.535161581541544,1920.099147281288,799.4103989090427,4 hours 0 minutes,C50,55,23,22,41,rapid,True,24,False,11,2629,1524,-160,False,Normal,Win,0.31400316592272226,470,4.0,1
1698.396753440759,23.215690076020806,1920.9714351000898,627.9003894909077,9 hours 54 minutes,B20,118,18,50,48,blitz,True,27,False,25,1275,2615,-113,True,Resignation,Draw,0.6149493380020422,574,9.9,0
582.2103992208971,19.79415447568448,1317.5006209972578,81.75903194887191,6 hours 39 minutes,B20,71,8,32,54,classical,False,21,False,23,1778,2129,-173,True,Resignation,Win,0.46453578659965755,938,6.65,1
527.2849409727811,23.697433770780286,1410.939539471679,873.5786241067772,8 hours 46 minutes,C50,95,17,28,55,classical,True,12,True,16,2053,2663,-100,True,Normal,Win,0.64948916807289,844,8.766666666666667,1
530.1281177361809,19.897992699974402,1117.5128351653116,920.8724005318131,4 hours 52 minutes,E60,26,12,54,45,blitz,True,0,False,22,2715,2427,-174,True,Resignation,Win,0.5551817050738954,682,4.866666666666667,1
747.6360373271679,20.603197585274142,869.1372347169033,61.07795985486375,4 hours 9 minutes,E60,48,23,20,49,classical,False,16,False,17,1393,2709,-44,False,Time Forfeit,Win,0.6334572536575833,445,4.15,1
